symbol,window_sec,sentiment,pct_change,impact_score,headline_id,headline,event_time
AAPL,600,0.8,2.3,1.84,sample_1,Apple announces breakthrough in AI chip technology,2025-08-14T20:46:50Z
MSFT,600,0.6,1.8,1.08,sample_2,Microsoft reports strong cloud revenue growth,2025-08-14T20:41:50Z
GOOGL,600,0.7,1.5,1.05,sample_3,Google unveils new quantum computing advances,2025-08-14T20:36:50Z
AMZN,600,0.5,-0.8,-0.4,sample_4,Amazon expands drone delivery nationwide,2025-08-14T20:31:50Z
TSLA,600,0.9,3.2,2.88,sample_5,Tesla achieves record quarterly deliveries,2025-08-14T20:26:50Z
NVDA,600,0.4,-1.2,-0.48,sample_6,NVIDIA partners with major automakers on AI,2025-08-14T20:21:50Z
AAPL,600,0.75,2.8,2.1,sample_7,Apple stock surges on iPhone sales beat,2025-08-14T20:16:50Z
MSFT,600,0.55,1.2,0.66,sample_8,Microsoft Teams adds innovative collaboration features,2025-08-14T20:11:50Z
GOOGL,600,0.65,1.9,1.23,sample_9,Google Search integrates advanced AI capabilities,2025-08-14T20:06:50Z
AMZN,600,0.45,-0.5,-0.23,sample_10,Amazon Web Services launches new data centers,2025-08-14T20:01:50Z
TSLA,600,0.85,3.5,2.98,sample_11,Tesla opens new Gigafactory in Texas,2025-08-14T19:56:50Z
NVDA,600,0.35,-1.8,-0.63,sample_12,NVIDIA announces next-generation graphics cards,2025-08-14T19:51:50Z
